Period (quarter),Month,Age,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Australia
2014,January,40-49,"1,906","2,351","4,054","1,308",586,495,168,31,"10,899"
2014,February,40-49,"1,970","2,214","4,152","1,265",653,418,188,20,"10,880"
2014,March,40-49,"1,984","1,831","4,265","1,409",790,514,181,58,"11,032"
2014,April,40-49,"1,627","1,569","3,948",893,771,419,174,64,"9,465"
2014,May,40-49,"2,069","1,962","4,497","1,104",802,498,204,119,"11,255"
2014,June,40-49,"1,706","2,067","3,957","1,015",790,484,136,48,"10,203"
2014,July,40-49,"1,770","2,014","4,401","1,252",882,552,153,98,"11,122"
2014,August,40-49,"1,704","1,745","3,814","1,263",863,438,172,48,"10,047"
2014,September,40-49,"1,878","1,794","4,169","1,156",744,481,173,109,"10,504"
2014,October,40-49,"1,975","2,076","4,478","1,192",641,447,178,115,"11,102"
2014,November,40-49,"1,975","1,889","4,149","1,137",631,352,161,84,"10,378"
2014,December,40-49,"1,104","1,255","2,925",903,450,208,112,11,"6,968"
2015,January,40-49,"1,369","1,278","3,765","1,041",554,270,124,18,"8,419"
2015,February,40-49,"1,553","1,714","4,138","1,201",641,254,155,30,"9,686"
2015,March,40-49,"1,767","1,952","4,288","1,371",774,521,105,33,"10,811"
2015,April,40-49,"1,450","1,733","4,018","1,089",766,441,126,79,"9,702"
2015,May,40-49,"1,844","1,800","4,141","1,301",745,466,182,224,"10,703"
2015,June,40-49,"1,708","1,746","4,327","1,447",809,601,136,128,"10,902"
2015,July,40-49,"1,803","1,830","4,468","1,457",740,632,153,86,"11,169"
2015,August,40-49,"1,773","1,721","4,004","1,368",782,404,128,109,"10,289"
2015,September,40-49,"1,860","1,632","4,049","1,309",858,527,150,45,"10,430"
2015,October,40-49,"2,142","1,693","4,504","1,412",714,539,136,159,"11,299"
2015,November,40-49,"2,340","1,685","4,603","1,639",855,493,161,103,"11,879"
2015,December,40-49,"1,104","1,214","3,179","1,156",486,341,142,20,"7,642"
2016,January,40-49,"1,315","1,288","3,321","1,165",605,376,116,39,"8,225"
2016,February,40-49,"1,956","1,629","4,226","1,443",773,451,166,51,"10,695"
2016,March,40-49,"1,942","1,622","4,145","1,370",726,509,185,29,"10,528"
2016,April,40-49,"1,890","1,664","4,011","1,242",686,429,186,41,"10,149"
2016,May,40-49,"2,108","1,794","4,233","1,291",832,533,192,107,"11,090"
2016,June,40-49,"1,817","1,756","4,159","1,296",822,428,162,86,"10,526"
2016,July,40-49,"1,878","1,673","3,713","1,191",704,495,197,72,"9,923"
2016,August,40-49,"2,098","1,533","4,001","1,238",840,516,189,64,"10,479"
2016,September,40-49,"1,799","1,259","4,004","1,049",759,519,147,54,"9,590"
2016,October,40-49,"2,018","1,427","4,016","1,218",787,377,193,98,"10,134"
2016,November,40-49,"2,295","1,709","3,879","1,236",805,496,163,33,"10,616"
2016,December,40-49,"1,024","1,273","2,783",732,527,278,124,15,"6,756"
2017,January,40-49,"1,309","1,315","3,281",806,523,346,125,43,"7,748"
2017,February,40-49,"1,777","1,504","4,106","1,064",798,430,155,41,"9,875"
2017,March,40-49,"2,275","1,796","4,221","1,552",814,496,202,38,"11,394"
2017,April,40-49,"1,593","1,344","3,189",943,627,431,127,41,"8,295"
2017,May,40-49,"2,261","1,836","4,097","1,310",935,494,153,97,"11,183"
2017,June,40-49,"1,935","1,896","4,393","1,188",768,468,166,92,"10,906"
2017,July,40-49,"1,841","1,557","3,983","1,357",760,445,125,74,"10,142"
2017,August,40-49,"2,015","1,828","3,840","1,303",938,537,225,113,"10,799"
2017,September,40-49,"2,012","1,506","3,930","1,293",956,502,191,101,"10,491"
2017,October,40-49,"2,319","1,893","4,470","1,368",763,471,190,109,"11,583"
2017,November,40-49,"2,345","1,811","4,360","1,441",915,611,191,37,"11,711"
2017,December,40-49,"1,202","1,270","2,723",918,619,332,117,22,"7,203"
2018,January,40-49,"1,525","1,484","3,586",928,625,504,120,34,"8,806"
2018,February,40-49,"2,103","1,609","4,175","1,203",777,536,144,34,"10,581"
2018,March,40-49,"2,050","1,684","4,062","1,367",794,562,148,42,"10,709"
2018,April,40-49,"1,579","1,642","3,445","1,156",607,428,125,44,"9,026"
2018,May,40-49,"2,072","2,047","3,832","1,387",945,560,141,104,"11,088"
2018,June,40-49,"1,818","1,929","3,857","1,283",848,463,157,59,"10,414"
2018,July,40-49,"1,642","1,793","3,725","1,291",647,681,128,61,"9,968"
2018,August,40-49,"1,850","2,005","3,697","1,445",846,591,178,80,"10,692"
2018,September,40-49,"1,717","1,652","3,554","1,143",686,525,206,60,"9,543"
2018,October,40-49,"1,945","1,917","3,807","1,608",754,414,146,74,"10,665"
2018,November,40-49,"2,062","1,745","4,177","1,495",769,410,125,36,"10,819"
2018,December,40-49,"1,038","1,372","2,365",868,490,245,107,. .,"6,485"
2019,January,40-49,"1,341","1,720","3,406","1,145",503,377,152,30,"8,674"
2019,February,40-49,"1,792","2,248","3,814","1,295",685,405,173,27,"10,439"
2019,March,40-49,"2,050","1,877","4,005","1,390",706,404,155,29,"10,616"
2019,April,40-49,"1,765","1,683","3,364","1,420",669,426,164,37,"9,528"
2019,May,40-49,"2,168","2,105","3,803","1,582",720,560,213,81,"11,232"
2019,June,40-49,"1,871","1,777","3,642","1,386",600,435,156,69,"9,936"
2019,July,40-49,"1,987","1,896","3,789","1,638",663,547,106,74,"10,700"
2019,August,40-49,"2,119","1,892","3,369","1,629",799,556,182,55,"10,601"
2019,September,40-49,"2,040","1,766","3,121","1,667",792,432,120,27,"9,965"
2019,October,40-49,"2,615","2,338","3,751","1,890",846,663,151,86,"12,340"
2019,November,40-49,"2,410","2,074","3,519","1,802",802,526,189,54,"11,376"
2019,December,40-49,"1,386","1,593","1,891",953,450,336,115,14,"6,738"
2020,January,40-49,"1,821","1,516","2,897","1,287",663,480,143,23,"8,830"
2020,February,40-49,"2,163","1,612","3,132","1,416",717,441,148,30,"9,659"
2020,March,40-49,"1,660","1,233","2,581","1,352",500,369,133,25,"7,853"
2020,April,40-49,. .,2,13,67,6,. .,21,. .,109
2020,May,40-49,339,429,"1,313",931,234,323,3,15,"3,587"
2020,June,40-49,"1,159",876,"2,059","1,475",334,453,109,52,"6,517"
2020,July,40-49,"1,655","1,224","3,078","1,540",479,452,114,35,"8,577"
2020,August,40-49,"1,527","1,088","2,880","1,428",698,552,153,59,"8,385"
2020,September,40-49,"1,708","1,069","3,038","1,425",965,589,149,50,"8,993"
2020,October,40-49,"2,060","1,142","3,254","1,788",797,502,166,59,"9,768"
2020,November,40-49,"2,217","1,329","3,406","1,535",635,471,217,54,"9,864"
2020,December,40-49,"1,315",883,"2,283","1,004",349,436,168,18,"6,456"
2021,January,40-49,"1,469",897,"2,682","1,148",333,448,133,33,"7,143"
2021,February,40-49,"1,865",600,"3,068","1,070",469,388,169,28,"7,657"
2021,March,40-49,"2,017",445,"3,192","1,350",577,478,147,34,"8,240"
2021,April,40-49,"1,611",455,"2,496","1,108",457,436,166,59,"6,788"
2021,May,40-49,"1,974",387,"2,560","1,465",599,507,158,63,"7,713"
2021,June,40-49,"1,799",514,"2,836","1,461",563,448,191,39,"7,851"
